,state,age,state_name
0,AK,33.5625,Alaska
1,AL,33.704,Alabama
2,AR,34.247933884297524,Arkansas
3,AZ,35.98245614035088,Arizona
4,CA,32.63250366032211,California
5,CO,35.625,Colorado
6,CT,26.590476190476192,Connecticut
7,DC,32.89795918367347,Dist. of Columbia
8,DE,35.875,Delaware
9,FL,35.619942196531795,Florida
10,GA,34.51304347826087,Georgia
11,HI,40.38461538461539,Hawaii
12,IA,32.627450980392155,Iowa
13,ID,34.48148148148148,Idaho
14,IL,29.663366336633665,Illinois
15,IN,31.103125,Indiana
16,KS,32.23232323232323,Kansas
17,KY,36.40236686390533,Kentucky
18,LA,30.81377551020408,Louisiana
19,MA,30.865168539325843,Massachusetts
20,MD,29.933962264150942,Maryland
21,ME,46.03846153846154,Maine
22,MI,33.17633410672854,Michigan
23,MN,34.91919191919192,Minnesota
24,MO,32.9277108433735,Missouri
25,MS,33.252100840336134,Mississippi
26,MT,38.36666666666667,Montana
27,NC,34.110837438423644,North Carolina
28,ND,36.857142857142854,North Dakota
29,NE,33.01851851851852,Nebraska
30,NH,29.846153846153847,New Hampshire
31,NJ,30.419475655430713,New Jersey
32,NM,35.81818181818182,New Mexico
33,NV,37.00892857142857,Nevada
34,NY,33.38095238095238,New York
35,OH,31.623404255319148,Ohio
36,OK,33.765060240963855,Oklahoma
37,OR,39.3875,Oregon
38,PA,33.45065176908752,Pennsylvania
39,RI,33.76,Rhode Island
40,SC,36.08,South Carolina
41,SD,32.875,South Dakota
42,TN,33.14229249011858,Tennessee
43,TX,34.534441805225654,Texas
44,UT,38.339622641509436,Utah
45,VA,35.191570881226056,Virginia
46,VT,45.0,Vermont
47,WA,34.40944881889764,Washington
48,WI,32.325,Wisconsin
49,WV,41.56140350877193,West Virginia
50,WY,38.8125,Wyoming
